Status,age,income,OpenCredit_Lines_and_loans,loan_type,loan_amount,term,property_value,loan_limit,approv_in_adv,LTV,dtir1
1,36,5520,2,1,4080,240,318000,1,0,61.79245283,0.32591852
1,82,2040,2,0,10261.2,360,168000,1,0,99.10714286,0.003478779
1,64,8580,2,3,8480.28,360,1198000,1,0,40.60934891,0.664221287
1,63,10740,1,4,0,360,428000,1,0,94.97663551,4739
1,70,2400,1,2,10200,360,188000,0,0,77.92553191,0.108089191
1,76,12600,2,0,0,360,408000,1,0,75.12254902,7
1,46,5040,2,2,4148.34,300,298000,1,0,89.4295302,1.243362832
1,70,7860,1,0,8331.36,240,588000,1,0,74.23469388,0.12290366
1,33,5700,2,0,510,360,1308000,1,0,34.13608563,0.123752495
1,36,2580,2,2,4590,360,218000,1,0,99.31192661,0.297933792
1,60,15180,3,2,14280,360,688000,1,0,69.25872093,0.366545247
1,41,8700,1,2,0,360,658000,1,0,70.89665653,4090
1,60,5400,3,1,3292.56,240,15118033,1,0,5750,0.63332301
1,61,8160,1,2,19550.34,360,678000,1,0,96.82890855,0.218854341
1,38,9180,1,2,12240,360,808000,1,0,62.68564356,0.266394467
1,45,281412,2,1,0,360,358000,1,1,68.8547486,994
1,83,5640,2,0,2806.02,360,288000,1,1,64.75694444,0.086482558
1,53,7980,2,0,3213,360,2008000,1,0,2.81374502,0.100920343
1,58,9840,1,1,2754,360,578000,1,0,84.16955017,1.065901518
1,57,11460,3,2,9639,360,3408000,1,0,10.16725352,0.112051635
1,56,3660,1,2,5525.34,180,348000,1,1,39.22413793,0.315983758
1,74,7140,1,1,0,360,588000,1,1,99.74489796,3031
1,55,7440,1,2,8811.78,360,9470940,1,0,4069,0.534027778
1,29,2940,2,0,0,300,88000,1,0,86.93181818,567
1,33,119265,3,1,3876,360,258000,0,1,111.0465116,0.343593791
1,40,3000,2,1,5937.42,180,208000,0,0,65.625,0.43369976
1,50,14640,2,1,4015.74,360,598000,0,1,81.35451505,0.427882174
1,36,3840,3,0,2124.66,360,498000,1,0,83.63453815,0.025911708
1,50,2880,3,1,3060,360,348000,1,0,53.59195402,0.370876375
1,59,5700,3,1,3570,360,9663380,1,0,506,0.655812625
1,38,7680,1,2,9774.66,360,318000,1,0,99.52830189,0.563752087
1,62,473639,1,2,6961.5,360,478000,1,0,72.48953975,0.412979783
1,51,6840,2,1,3162,348,438000,1,0,74.543379,0.801999355
1,42,10260,2,0,6936,180,818000,1,0,31.35696822,0.034847816
1,52,3120,1,1,3546.54,360,408000,1,0,55.51470588,0.726566993
1,40,17340,3,1,0,360,588000,1,0,38.52040816,2088
0,49,12180,1,2,5524.32,360,1308000,0,1,69.30428135,1.104301274
1,65,5520,1,2,5248.92,360,558000,1,0,69.26523297,0.610841267
1,44,6060,1,3,7054.32,360,508000,1,0,97.73622047,0.593899089
1,56,5220,2,2,1912.5,180,8629571,0,0,5505,3.382196162
1,38,2640,1,0,7888.68,360,528000,1,0,35.3219697,0.138461538
1,31,4920,3,0,0,360,288000,1,0,85.59027778,974
1,60,4800,2,2,9644.1,324,16150337,0,0,5327,0.342005076
1,71,4200,1,0,2300.1,360,228000,1,1,99.34210526,0.005319149
1,77,571463,1,0,10266.3,360,508000,1,0,81.98818898,0.010927876
1,43,8160,2,1,2448,360,208000,1,0,70.43269231,0.907538526
0,37,4440,1,1,0,360,7737485,1,1,623,1593
1,48,11400,2,2,7854,360,768000,1,0,51.62760417,0.667835346
1,57,3240,1,1,0,360,318000,1,0,77.51572327,3144
0,27,3300,2,0,2974.32,360,388000,1,0,81.57216495,0.152896812
0,46,3840,2,0,3960.66,360,318000,0,1,93.23899371,0.291709578
1,88,2673,1,0,0,360,558000,1,0,78.22580645,13
1,57,6600,2,2,15300,360,288000,1,1,78.64583333,0.47090194
1,55,321729,2,1,3570,360,578000,0,0,87.62975779,0.536703799
1,57,8400,1,0,3315,360,608000,1,0,48.76644737,0.156259612
1,82,5820,3,0,5100,360,598000,1,0,64.63210702,0.016196761
0,40,6540,1,0,1.02,120,618000,1,0,17.23300971,74.5
1,37,15240,2,0,0,360,898000,1,0,78.67483296,103
1,71,5280,2,1,3468,180,278000,1,0,63.48920863,0.308438695
1,66,8280,3,1,5304,360,588000,1,0,84.43877551,0.181311286
1,63,16740,3,2,10063.32,360,978000,1,0,62.01431493,0.269281443
1,48,2220,2,1,4896,360,138000,1,0,91.66666667,0.166215372
1,51,3780,3,2,7417.44,180,198000,1,0,79.04040404,0.429533892
1,62,5580,2,1,0,360,208000,1,0,94.47115385,1253
1,52,11760,1,2,8925,360,1308000,1,0,19.61009174,0.420180551
1,68,54300,1,0,1975.74,360,1708000,0,0,80.59133489,0.358101135
1,64,4680,2,0,6120,360,608000,1,0,61.92434211,0.04965839
0,65,4140,2,2,0,360,438000,1,0,67.69406393,5223
1,52,8580,3,1,0,360,11109879,1,0,5140,1208
1,63,10020,2,0,2244,360,858000,1,1,48.54312354,0.031349387
1,44,9000,1,1,1.02,360,808000,1,0,58.97277228,800
1,75,0,2,1,4249.32,360,3354668,1,0,7703,0.135589153
1,74,25680,1,1,7752,240,7595015,1,0,2948,0.04578345
1,54,8580,3,2,5319.3,360,568000,1,0,46.91901408,0.700153374
1,47,7080,1,1,8330.34,360,458000,1,0,88.75545852,0.376836435
1,46,77576,2,1,7101.24,360,758000,1,0,33.83905013,0.296854804
1,65,4920,2,2,6121.02,360,238000,1,0,99.3697479,0.701766078
1,39,8640,1,1,6120,360,8349383,1,0,5948,0.322446259
1,38,3960,1,1,2040,360,258000,1,0,60.65891473,0.56071964
1,43,3600,3,1,6528,360,478000,0,1,85.041841,0.436025621
1,65,6180,2,1,10200,360,638000,1,0,74.68652038,0.262773723
1,45,10080,1,1,2652,360,1208000,1,0,56.00165563,0.537485582
1,66,336236,1,1,2958,360,238000,1,0,86.76470588,0.588073078
1,54,2520,3,0,4504.32,240,188000,0,0,67.28723404,0.353860086
1,68,10200,3,1,0,360,468000,1,0,78.31196581,3730
1,30,2520,2,0,0,180,208000,1,0,75.24038462,0
1,49,7980,1,2,14280,360,648000,1,0,42.66975309,0.283765445
0,63,11640,2,0,5610,360,668000,1,0,95.28443114,0.209961825
1,75,13560,3,0,10710,360,908000,1,0,53.57929515,0.000285687
1,60,204327,3,2,0,360,288000,1,0,92.53472222,2825
1,46,4800,3,1,9384,360,588000,1,0,60.6292517,0.14041952
1,44,26100,2,2,6827.88,360,538000,1,0,73.69888476,0.458551158
1,83,9000,2,0,3399.66,360,618000,1,0,78.72168285,0.165566887
1,51,14220,2,2,6757.5,360,1138000,1,0,62.96133568,0.257017809
0,60,10800,1,0,3570,360,798000,1,0,74.74937343,0.151956584
1,56,19620,2,1,9945,360,798000,1,0,79.76190476,0.092913547
1,35,2640,1,0,7309.32,360,118000,1,0,98.72881356,0.058322869
1,55,11880,3,1,8670,360,418000,1,0,90.07177033,0.266909775
1,25,6660,2,0,1759.5,240,658000,1,0,54.17933131,0
1,51,3240,3,0,15300,360,88000,1,1,98.29545455,0.123125125
1,46,3360,3,1,4921.5,324,288000,1,0,78.64583333,0.278077082
1,65,840,2,0,9574.74,360,198000,1,0,33.58585859,0.007988922
1,67,7020,3,1,12750,360,628000,1,0,88.61464968,0.125189985
1,30,240626,2,0,5090.82,360,378000,1,0,99.6031746,0.037259615
1,45,1500,3,1,212499.66,360,118000,1,0,90.25423729,0.009691169
1,61,9180,2,2,5814,360,428000,1,0,73.94859813,0.637607437
1,78,3960,3,0,2958,360,138000,1,1,84.42028986,0.267149259
1,70,4440,2,1,3672,360,308000,1,1,28.08441558,0.094140517
1,63,6480,1,1,1310.7,360,318000,1,0,102.672956,0.529548989
1,70,4140,3,1,4553.28,360,218000,1,0,80.96330275,0.175139978
1,59,1860,2,1,11899.32,360,158000,0,0,99.05063291,0.130453416
1,70,8280,1,1,4761.36,360,418000,1,0,82.89473684,0.445277361
0,48,9900,1,0,1739.1,180,828000,1,0,74.45652174,0.637749121
1,71,78120,2,1,8498.64,180,578000,1,1,78.97923875,0.389895596
1,46,3180,1,2,6799.32,360,138000,1,0,69.92753623,0.326383681
1,30,3540,2,0,3825,360,398000,1,0,64.44723618,0.139429485
1,42,3120,1,1,9032.1,360,158000,1,1,92.72151899,0.178184282
1,38,6960,2,2,5519.22,360,468000,1,0,67.62820513,0.554878049
1,66,3180,2,1,2705.04,360,2793023,0,0,3835,0.307576329
1,59,61671,3,3,0,360,408000,0,0,99.63235294,5439
1,64,1980,3,1,16947.3,360,108000,1,0,107.8703704,0.262879153
1,49,18420,1,0,9682.86,180,278000,1,0,49.10071942,0.092163472
1,64,2940,3,0,5589.6,360,248000,1,0,83.26612903,0
1,51,6840,3,2,5100,360,4762849,1,0,1405,0.347930414
1,68,1740,3,1,9078,360,618000,1,0,26.94174757,0.28446242
1,58,177326,2,1,0,360,228000,1,0,94.95614035,942
1,85,8280,3,2,4300.32,360,338000,1,0,90.68047337,0.689589756
1,47,13140,1,2,8499.66,360,1268000,0,0,65.18138801,0.339332853
1,31,2220,1,1,2346,360,138000,1,1,98.91304348,0.53628857
1,31,18240,1,0,2779.5,360,538000,1,0,64.40520446,0.24651504
1,48,8760,2,2,16116,180,558000,1,0,69.26523297,0.282830201
1,27,15840,3,0,0,180,1068000,1,0,66.15168539,1005
1,70,5880,2,2,4080,360,338000,0,1,81.80473373,0.787803049
1,35,1260,3,1,4998,360,78000,1,0,33.97435897,0.537441339
1,57,111342,1,0,5701.8,360,488000,1,0,56.65983607,0.03988553
1,48,2100,1,1,6799.32,360,388000,1,0,48.06701031,0.271186441
1,68,0,2,1,3235.44,360,858000,1,0,42.71561772,0.391427671
1,50,18000,3,0,510,360,768000,1,0,86.78385417,0.075848303
1,53,4320,2,0,7905,360,288000,1,1,78.64583333,0.066830086
1,29,1680,3,0,4249.32,240,7551761,1,0,835,0.144948404
1,39,118823,1,1,6302.58,360,438000,1,0,97.37442922,0.329935275
1,51,4560,1,0,8499.66,360,408000,1,1,53.06372549,0.042836573
1,39,2460,2,1,8058,360,148000,1,0,98.98648649,0.184027338
1,38,9060,2,2,5610,360,1298000,1,0,52.11864407,0.632794037
1,64,8220,3,1,3739.32,300,298000,1,0,106.2080537,0.406053995
1,59,7380,3,0,8160,180,208000,1,0,36.77884615,0.043744532
1,61,7440,3,0,4284,180,638000,1,0,69.98432602,0
1,40,10800,2,0,3621,180,548000,1,1,46.80656934,0.472542946
1,60,7560,3,3,0,360,9403393,1,0,4428,3976
1,39,7500,3,1,6222,360,5534132,1,1,6560,0.288477299
1,34,1380,3,8,12750,360,358000,1,0,74.44134078,1.247340213
1,54,4020,1,2,7084.92,360,248000,1,0,79.23387097,0.483518065
1,45,2220,3,2,0,180,158000,1,0,35.75949367,4211
1,47,10440,3,1,7650,360,4972415,1,1,5103,0.318890815
1,64,4800,3,0,7231.8,324,808000,1,0,41.6460396,0.249471161
1,31,12240,2,0,0,360,1298000,0,0,76.00154083,0
1,43,7620,1,1,6630,360,578000,1,0,98.01038062,0.408706353
1,31,9660,2,0,3060,360,748000,1,0,70.38770053,0.193935355
0,49,6480,1,1,25500,360,12550755,1,0,2625,0.03975841
1,89,4260,1,0,5317.26,360,218000,1,0,85.55045872,0.001534331
1,43,5280,2,1,9414.6,360,418000,1,0,75.71770335,0.199761673
1,30,10740,1,0,4080,360,318000,1,0,86.94968553,0.189702574
1,73,342750,2,2,4386,360,648000,1,0,93.59567901,0.426412462
1,48,8160,2,1,16422,360,638000,1,0,74.68652038,0.072914726
1,32,9960,3,0,5712,360,788000,1,0,66.81472081,0.090341011
0,45,13500,1,1,7673.46,360,928000,0,0,61.04525862,0.461323764
1,61,5400,3,1,16246.56,360,318000,0,0,74.37106918,0.381254316
1,49,7320,3,1,0,360,388000,1,0,66.10824742,773
1,63,8220,2,0,0,360,15823410,1,0,528,542
1,74,5640,1,1,3770.94,360,14563896,1,0,1068,0.356679286
1,52,3600,2,1,5888.46,360,278000,1,1,56.29496403,0.45722203
0,70,6600,1,3,25500,360,518000,1,0,84.26640927,0.218071277
1,60,16080,3,5,0,360,938000,1,0,51.86567164,8380
1,73,5100,2,0,0,360,488000,1,0,73.05327869,151
0,50,2700,3,2,0,360,378000,1,0,70.5026455,2073
1,39,2280,1,0,4590,360,418000,1,0,44.61722488,0.184625639
1,52,5340,2,1,0,240,218000,1,1,58.02752294,2720
1,40,4680,2,1,1923.72,360,388000,1,0,71.2628866,0.563328034
1,37,2460,2,1,0,360,148000,1,1,71.95945946,3388
1,32,7320,2,2,2550,360,448000,1,0,86.27232143,0.698120752
1,58,6720,2,1,19971.6,360,598000,1,0,62.95986622,0.170164956
1,53,2760,3,2,8160,360,288000,1,0,71.70138889,0.333583302
1,42,9660,2,2,0,360,11138766,1,1,7114,3878
1,30,5040,3,0,1210.74,360,888000,1,0,54.78603604,0.467171717
1,56,5580,3,0,4794,360,808000,1,1,50.30940594,0.017655818
1,59,4620,1,2,0,180,158000,1,0,92.72151899,6381
1,37,5460,2,2,3948.42,360,178000,1,1,87.92134831,0.314566116
1,81,6600,1,0,2550,360,498000,1,0,95.68273092,0.009596162
1,66,2220,1,1,8808.72,360,208000,1,0,41.58653846,0.214426305
1,76,2580,1,0,2040,360,298000,1,0,82.71812081,0.164917541
1,66,5100,3,1,10710,360,608000,1,0,98.10855263,0.101514142
1,65,8100,3,2,8211,360,838000,1,0,66.40811456,0.278226307
1,47,16260,2,1,14780.82,360,1758000,1,1,69.76678043,0.290229092
1,68,8880,3,0,0,360,5955185,1,0,2749,870
1,59,277818,1,0,5332.56,324,198000,0,0,99.24242424,0.13080895
1,63,5100,3,0,20400,360,658000,1,1,63.29787234,0.008549573
1,92,2580,2,1,0,360,188000,0,0,109.8404255,876
1,36,8100,2,0,3265.02,360,15805533,1,0,3424,0.007495315
1,40,12120,2,0,0,360,648000,1,0,59.64506173,34
1,62,3660,3,0,4284,360,348000,0,0,70.83333333,0
1,78,4260,3,0,9792,360,308000,1,1,86.52597403,0.070513488
1,41,5580,3,1,10357.08,360,358000,1,1,93.99441341,0.188281635
1,65,3000,1,2,4790.94,360,148000,1,1,85.47297297,0.582162622
0,60,5220,3,0,0,360,378000,1,1,54.62962963,668
1,60,1860,2,0,7907.04,360,78000,1,0,85.25641026,0.115826132
1,48,9180,2,4,5916,360,748000,1,0,63.70320856,1.206516118
1,29,8100,2,1,3798.48,360,478000,1,0,78.76569038,0.352214765
1,37,6840,2,0,3125.28,360,278000,1,1,92.26618705,0.092985318
1,57,9000,2,2,9894,240,558000,1,0,56.72043011,0.437996083
1,53,9360,2,4,10376.46,300,7118833,1,0,3254,0.492529978
1,38,4560,3,2,11424,360,328000,1,0,66.00609756,0.344879921
1,51,4620,2,1,0,360,628000,1,0,69.50636943,1599
1,58,4260,1,1,4896,360,298000,1,0,42.44966443,0.131430952
1,39,4680,2,0,6834,96,158000,0,0,61.07594937,0.045366363
1,50,6960,3,1,4249.32,360,838000,1,0,48.50835322,1.299736021
1,38,3660,3,1,4845,360,358000,1,0,93.99441341,0.334245422
1,59,4440,1,2,1.02,360,588000,1,0,72.53401361,2221.5
0,63,9120,1,3,3060,240,608000,1,0,68.50328947,1.2979007
1,40,4920,1,1,5865,360,218000,0,0,85.55045872,0.41627543
1,26,12060,2,0,1224,360,1508000,1,1,40.21883289,0.035803497
1,35,9180,2,1,0,360,538000,1,0,82.99256506,1786
1,83,4860,2,0,3720.96,360,158000,1,1,99.05063291,0.000822143
1,57,2640,3,2,2040,360,258000,1,1,99.41860465,0.725137431
1,59,27000,3,1,11900.34,180,458000,1,0,73.47161572,0.16069592
1,65,7920,3,2,8372.16,360,668000,1,0,60.85329341,0.41905226
1,99,3840,2,0,0,360,2235399,1,0,970,3
1,58,3840,1,0,0,360,258000,1,0,103.2945736,13
1,43,5880,1,3,4674.66,240,328000,1,0,47.71341463,0.686736475
1,45,3180,2,1,3739.32,360,14283500,1,0,7300,0.603763294
1,42,0,2,0,9531.9,360,2812327,1,0,2540,0.207789429
1,76,4140,1,1,3484.32,360,14096183,1,0,981,0.306409131
1,51,3480,2,2,9588,360,278000,1,0,95.86330935,0.358153388
1,70,3660,2,1,6120,360,378000,1,1,70.5026455,0.209965006
1,59,4320,3,3,6918.66,300,308000,1,0,73.53896104,0.785229953
1,50,104193,2,1,9078,360,178000,1,0,82.30337079,0.179979778
1,54,2100,2,0,5496.78,360,168000,1,0,99.10714286,0.013543599
1,50,1140,2,1,0,360,78000,1,0,98.07692308,2045
1,63,7200,2,3,5165.28,360,8046290,1,0,5479,0.671076012
1,71,5460,1,1,10200,360,408000,1,0,65.31862745,0.065493451
1,34,3420,3,0,2101.2,360,228000,1,0,81.79824561,0.095584668
1,63,6360,1,2,7650,360,498000,1,0,101.7068273,0.229436075
1,39,5040,3,1,7380.72,360,428000,1,0,66.93925234,0.177007047
1,35,7860,3,1,5524.32,360,598000,1,1,94.73244147,0.257707218
1,83,6060,1,0,4017.78,360,658000,1,0,55.69908815,0.145685279
1,62,4800,2,1,3995.34,360,668000,1,0,63.84730539,0.566105156
1,48,4440,1,2,10200,360,378000,1,1,78.43915344,0.394460554
0,34,7380,1,0,3484.32,360,978000,1,0,69.17177914,0.006731051
1,40,7200,1,2,10200,360,718000,1,0,73.32869081,0.384761524
1,84,5100,1,1,5100,360,368000,1,0,69.70108696,0.176964607
1,70,8340,1,1,5015.34,324,328000,0,0,81.25,0.168767792
1,54,4980,1,1,5610,360,288000,1,0,75.17361111,0.280494456
1,68,4080,3,0,0,360,288000,1,0,54.34027778,90
1,59,9660,3,1,4416.6,360,14875873,1,0,2577,0.558762411
1,52,17640,3,4,9588,360,538000,1,0,90.42750929,0.399106478
1,55,6720,1,2,11491.32,360,358000,1,0,71.64804469,0.52409692
1,78,5040,3,1,4397.22,300,568000,1,0,69.80633803,0.374304267
1,66,3240,2,1,6352.56,360,11448114,1,1,2401,0.186225718
1,74,5280,2,0,3978,360,308000,1,0,76.78571429,0.020763907
1,61,23760,3,1,0,360,2128000,0,1,69.85432331,929
1,55,4620,1,1,5712,240,398000,1,0,39.32160804,1.114622389
1,36,1620,1,0,0,180,248000,1,1,34.87903226,997
1,57,24060,3,0,2601,360,3848000,0,0,36.81133056,0.412779302
1,48,277725,1,1,7821.36,360,408000,1,0,97.18137255,0.254661625
1,29,12060,2,0,2309.28,180,998000,1,0,48.74749499,0.229139073
1,45,3840,1,2,9297.3,360,338000,1,0,64.05325444,0.44723563
1,33,7200,3,0,4573.68,300,318000,1,0,83.80503145,0.068227425
1,45,5760,1,5,11899.32,360,618000,1,0,75.48543689,0.384074741
1,53,3540,2,2,3876,240,258000,1,0,60.65891473,0.532754538
1,30,7440,1,0,6120,360,668000,1,0,90.79341317,0.057990335
1,53,8040,3,0,6714.66,360,258000,1,0,95.54263566,0.09963548
1,57,5460,3,2,7581.66,240,548000,1,0,57.75547445,0.467850417
1,71,71220,2,0,4095.3,360,738000,1,0,75.40650407,0.016683267
1,35,3060,2,1,2546.94,360,298000,1,0,89.4295302,0.660528423
1,62,7140,1,0,1275,360,328000,1,0,93.44512195,0.023181455
1,51,9300,2,0,7132.86,192,778000,1,0,58.67609254,0.067629397
1,75,2520,1,0,0,360,138000,1,0,84.42028986,8500
1,68,5160,3,0,4182,360,10183185,1,0,966,0.195074372
1,51,5820,3,2,5100,360,688000,1,0,80.88662791,0.568886223
1,56,8700,3,1,0,180,4429306,1,0,3527,2126
1,58,223490,2,0,0,360,208000,1,0,89.66346154,7
1,57,3120,3,0,5710.98,360,318000,1,0,83.80503145,0.001785714
1,54,2640,3,1,8384.4,360,188000,1,0,72.60638298,0.207274054
1,64,6720,1,0,7564.32,360,818000,1,0,65.58679707,0.044762033
1,44,8820,1,1,8499.66,180,288000,1,0,64.75694444,0.230261579
1,47,8880,2,2,8160,360,2398000,0,0,33.21517932,0.724784402
1,84,3060,1,0,0,360,518000,1,0,64.96138996,0
1,37,1620,2,2,5712,360,228000,1,0,86.18421053,0.300839136
1,64,6000,1,2,0,360,8363121,1,0,3044,7963
1,59,2520,1,2,0,360,238000,1,0,69.95798319,2301
1,47,5100,2,1,9012.72,360,6334769,1,0,7294,0.4842141
1,26,46286,3,0,0,360,148000,1,0,92.22972973,499
1,39,1860,2,1,6242.4,360,138000,1,0,77.17391304,0.674399608
1,42,4320,3,2,11009.88,360,228000,1,0,77.4122807,0.423251505
1,88,11400,2,0,0,324,7824489,1,0,7096,2
1,58,7200,1,0,0,360,418000,0,0,99.64114833,87
1,42,4380,2,3,7344,240,158000,1,0,61.07594937,0.60616581
1,68,95334,1,1,5202,360,308000,1,0,99.51298701,0.351891786
1,65,12000,3,1,5321.34,360,718000,1,0,56.61559889,0.200843235
1,47,430989,3,0,0,360,498000,1,0,83.63453815,461
1,32,323232,2,0,4794,360,158000,1,1,99.05063291,0
1,38,3360,1,1,3060,360,178000,1,1,71.06741573,0.785404865
1,46,10860,3,3,6120,360,608000,1,0,66.85855263,0.747375437
1,61,8100,2,1,3692.4,360,728000,1,0,69.57417582,0.388566694
1,40,6780,1,0,3315,360,588000,1,1,87.84013605,0.08951092
1,40,8760,2,1,71400,360,628000,1,0,88.61464968,0.024885359
1,41,4680,1,2,0,240,408000,1,1,72.67156863,1314
1,45,3720,2,1,10438.68,240,348000,1,0,70.83333333,0.353883732
1,77,4320,3,1,817.02,180,338000,1,0,72.92899408,0.527431421
1,31,12540,3,1,8568,360,288000,1,0,78.64583333,0.338531127
1,71,5400,2,1,7046.16,360,198000,1,0,79.04040404,0.064119265
1,50,9360,1,2,7568.4,360,298000,1,0,59.22818792,0.480393478
0,91,8280,2,0,2550,180,408000,1,0,65.31862745,0.549380248
1,58,5400,3,1,8329.32,360,318000,1,0,68.08176101,0.197624587
1,77,8460,2,0,8454.78,360,478000,1,0,87.13389121,0.0013269
1,57,2580,3,0,4226.88,360,5674463,1,0,309,0.138721351
1,51,6300,2,1,0,360,568000,1,0,80.36971831,562
1,33,12420,2,0,12240,240,858000,1,0,53.20512821,0.236980252
1,48,1680,2,1,8058,360,108000,1,0,89.35185185,0.348057208
1,42,5280,3,0,2448,180,218000,1,0,58.02752294,0.185755935
1,48,5940,1,0,0,360,778000,1,0,31.68380463,2568
1,58,30180,1,1,2040,360,628000,1,0,79.06050955,0.336831584
1,31,10200,3,1,4437,360,418000,1,0,37.44019139,0.260170076
1,51,7440,1,0,4896,156,168000,1,0,93.1547619,0.098937721
1,66,8640,3,1,0,360,5383083,1,0,7109,556
1,47,1980,3,0,0,228,138000,1,0,62.68115942,1021
1,80,6180,2,0,5706.9,360,398000,1,1,94.59798995,0.024303074
1,56,3420,2,1,6168.96,360,408000,1,0,50.6127451,0.3539428
